,plotRatio,transactionDate,floorPrice
0,1.5,2018.0794520547945,2100
1,1.6,2018.0794520547945,1875
2,1.6,2018.0794520547945,1667
3,1.7,2018.0794520547945,1238
4,2.25,2018.0602739726028,3943
5,1.5,2018.027397260274,12896
6,1.84,2018.0246575342467,13577
7,1.25,2018.021917808219,1600
8,1.1,2018.021917808219,1238
9,1.25,2018.0191780821917,1600
10,1.5,2018.0027397260274,2865
11,1.3,2018.0027397260274,3581
12,1.5,2018.0027397260274,2865
13,1.5,2018.0027397260274,3000
14,1.5,2018.0027397260274,2865
15,1.5,2018.0027397260274,2865
16,1.5,2018.0027397260274,2865
17,1.05,2018.0027397260274,5209
18,1.5,2018.0027397260274,3000
19,1.5,2018.0027397260274,2865
20,1.5,2017.9933789954339,15600
21,1.5,2017.9933789954339,9500
22,2.69,2017.9906392694065,7162
23,1.75,2017.9906392694065,7330
24,2.11,2017.9906392694065,7325
25,1.5,2017.9878995433792,2550
26,2.2,2017.9851598173516,8500
27,1.5,2017.9851598173516,7100
28,1.5,2017.9851598173516,2700
29,1.5,2017.9851598173516,7899
30,1.7,2017.9851598173516,7600
31,2.2,2017.9851598173516,7600
32,1.5,2017.9851598173516,2700
33,1.5,2017.9714611872148,3225
34,1.5,2017.9714611872148,10124
35,1.5,2017.9687214611872,10124
36,1.5,2017.9687214611872,2603
37,1.5,2017.9495433789955,9000
38,1.4,2017.9495433789955,5683
39,1.75,2017.9468036529681,900
40,2.2,2017.9303652968038,3984
41,1.5,2017.9303652968038,13900
42,1.75,2017.9303652968038,6900
43,1.5,2017.9276255707764,2400
44,2.2,2017.9127853881278,12000
45,1.5,2017.9127853881278,8100
46,1.7,2017.9127853881278,12000
47,1.7,2017.9127853881278,11700
48,1.5,2017.9127853881278,13800
49,2.61,2017.9100456621004,1635
50,1.75,2017.907305936073,2820
51,1.75,2017.907305936073,1980
52,1.25,2017.907305936073,3500
53,1.75,2017.907305936073,1980
54,2.5,2017.907305936073,3698
55,1.75,2017.8689497716894,10900
56,1.5,2017.8689497716894,9100
57,1.5,2017.8689497716894,4500
58,1.5,2017.8689497716894,6200
59,2.0,2017.852511415525,3025
60,2.0,2017.852511415525,3050
61,2.0,2017.852511415525,3025
62,2.0,2017.852511415525,3025
63,1.4,2017.8497716894976,7380
64,1.75,2017.8497716894976,3800
65,1.75,2017.8333333333333,2820
66,1.5,2017.8157534246575,8250
67,1.75,2017.8130136986301,7770
68,1.85,2017.7993150684931,8200
69,1.5,2017.7938356164384,7800
70,1.5,2017.7938356164384,2603
71,1.75,2017.7938356164384,4500
72,1.5,2017.7938356164384,6800
73,2.0,2017.791095890411,4450
74,1.75,2017.791095890411,3498
75,2.5,2017.7746575342467,7200
76,1.75,2017.7746575342467,8700
77,2.2,2017.7406392694065,7930
78,2.2,2017.7406392694065,7930
79,1.7,2017.7406392694065,7280
80,0.2,2017.7406392694065,7300
81,1.7,2017.7406392694065,7280
82,2.25,2017.7378995433792,11000
83,1.5,2017.7378995433792,2295
84,2.1,2017.7214611872148,9619
85,2.04,2017.7214611872148,9626
86,1.7,2017.7214611872148,12007
87,1.75,2017.7159817351599,10100
88,2.0,2017.7159817351599,9100
89,2.0,2017.7159817351599,9800
90,2.2,2017.7022831050228,7990
91,1.13,2017.7022831050228,6800
92,1.7,2017.6831050228311,12600
93,1.7,2017.6831050228311,12000
94,2.2,2017.6831050228311,13800
95,2.2,2017.6831050228311,10767
96,1.5,2017.6831050228311,12600
97,1.5,2017.6831050228311,12800
98,2.0,2017.6803652968038,11200
99,1.5,2017.6803652968038,10950
100,1.4,2017.6776255707764,3083
101,1.75,2017.6408675799087,7100
102,2.0,2017.6408675799087,10100
103,1.7,2017.6408675799087,10200
104,1.25,2017.6244292237443,4800
105,1.75,2017.6244292237443,3204
106,2.0,2017.6244292237443,3600
107,2.0,2017.5657534246575,10100
108,1.7,2017.5465753424658,5000
109,3.0,2017.5465753424658,8260
110,2.7,2017.5465753424658,9600
111,2.92,2017.5465753424658,7870
112,4.11,2017.5465753424658,9200
113,2.5,2017.5465753424658,9800
114,2.0,2017.5082191780823,1600
115,1.5,2017.4906392694065,11400
116,2.0,2017.4742009132422,6150
117,1.3,2017.4742009132422,2719
118,1.3,2017.4742009132422,2625
119,1.6,2017.4358447488585,1295
120,1.75,2017.304794520548,2340
121,1.4,2017.2664383561644,4208
122,1.7,2017.263698630137,11080
123,3.7,2017.263698630137,11700
124,4.7,2017.263698630137,12900
125,1.6,2017.263698630137,17200
126,2.2,2017.263698630137,17160
127,3.7,2017.263698630137,16900
128,4.53,2017.263698630137,13580
129,2.0,2017.263698630137,9400
130,2.0,2017.2050228310502,10880
131,2.5,2017.0246575342467,6400
132,2.1,2017.0246575342467,2221
133,1.1,2017.0109589041097,450
