容积率 卖地时间 楼面地价
1.50 2018-01-30 2100
1.60 2018-01-30 1875
1.60 2018-01-30 1667
1.70 2018-01-30 1238
2.25 2018-01-23 3943
1.50 2018-01-11 12896
1.84 2018-01-10 13577
1.25 2018-01-09 1600
1.10 2018-01-09 1238
1.25 2018-01-08 1600
1.50 2018-01-02 2865
1.30 2018-01-02 3581
1.50 2018-01-02 2865
1.50 2018-01-02 3000
1.50 2018-01-02 2865
1.50 2018-01-02 2865
1.50 2018-01-02 2865
1.05 2018-01-02 5209
1.50 2018-01-02 3000
1.50 2018-01-02 2865
1.50 2017-12-29 15600
1.50 2017-12-29 9500
2.69 2017-12-28 7162
1.75 2017-12-28 7330
2.11 2017-12-28 7325
1.50 2017-12-27 2550
2.20 2017-12-26 8500
1.50 2017-12-26 7100
1.50 2017-12-26 2700
1.50 2017-12-26 7899
1.70 2017-12-26 7600
2.20 2017-12-26 7600
1.50 2017-12-26 2700
1.50 2017-12-21 3225
1.50 2017-12-21 10124
1.50 2017-12-20 10124
1.50 2017-12-20 2603
1.50 2017-12-13 9000
1.40 2017-12-13 5683
1.75 2017-12-12 900
2.20 2017-12-06 3984
1.50 2017-12-06 13900
1.75 2017-12-06 6900
1.50 2017-12-05 2400
2.20 2017-11-30 12000
1.50 2017-11-30 8100
1.70 2017-11-30 12000
1.70 2017-11-30 11700
1.50 2017-11-30 13800
2.61 2017-11-29 1635
1.75 2017-11-28 2820
1.75 2017-11-28 1980
1.25 2017-11-28 3500
1.75 2017-11-28 1980
2.50 2017-11-28 3698
1.75 2017-11-14 10900
1.50 2017-11-14 9100
1.50 2017-11-14 4500
1.50 2017-11-14 6200
2.00 2017-11-08 3025
2.00 2017-11-08 3050
2.00 2017-11-08 3025
2.00 2017-11-08 3025
1.40 2017-11-07 7380
1.75 2017-11-07 3800
1.75 2017-11-01 2820
1.50 2017-10-25 8250
1.75 2017-10-24 7770
1.85 2017-10-19 8200
1.50 2017-10-17 7800
1.50 2017-10-17 2603
1.75 2017-10-17 4500
1.50 2017-10-17 6800
2.00 2017-10-16 4450
1.75 2017-10-16 3498
2.50 2017-10-10 7200
1.75 2017-10-10 8700
2.20 2017-09-28 7930
2.20 2017-09-28 7930
1.70 2017-09-28 7280
0.20 2017-09-28 7300
1.70 2017-09-28 7280
2.25 2017-09-27 11000
1.50 2017-09-27 2295
2.10 2017-09-21 9619
2.04 2017-09-21 9626
1.70 2017-09-21 12007
1.75 2017-09-19 10100
2.00 2017-09-19 9100
2.00 2017-09-19 9800
2.20 2017-09-14 7990
1.13 2017-09-14 6800
1.70 2017-09-07 12600
1.70 2017-09-07 12000
2.20 2017-09-07 13800
2.20 2017-09-07 10767
1.50 2017-09-07 12600
1.50 2017-09-07 12800
2.00 2017-09-06 11200
1.50 2017-09-06 10950
1.40 2017-09-05 3083
1.75 2017-08-22 7100
2.00 2017-08-22 10100
1.70 2017-08-22 10200
1.25 2017-08-16 4800
1.75 2017-08-16 3204
2.00 2017-08-16 3600
2.00 2017-07-25 10100
1.70 2017-07-18 5000
3.00 2017-07-18 8260
2.70 2017-07-18 9600
2.92 2017-07-18 7870
4.11 2017-07-18 9200
2.50 2017-07-18 9800
2.00 2017-07-04 1600
1.50 2017-06-28 11400
2.00 2017-06-22 6150
1.30 2017-06-22 2719
1.30 2017-06-22 2625
1.60 2017-06-08 1295
1.75 2017-04-21 2340
1.40 2017-04-07 4208
1.70 2017-04-06 11080
3.70 2017-04-06 11700
4.70 2017-04-06 12900
1.60 2017-04-06 17200
2.20 2017-04-06 17160
3.70 2017-04-06 16900
4.53 2017-04-06 13580
2.00 2017-04-06 9400
2.00 2017-03-15 10880
2.50 2017-01-10 6400
2.10 2017-01-10 2221
1.10 2017-01-05 450
